epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,13.9231,1.54977,3.45816,1.45951,0.00694,0.08333,0.04302,0.0043,2.26983,3.96447,2.01246,0.000201305,0.000201305,0.000201305
40,14.3326,1.70986,4.10886,1.67031,0.00694,0.08333,0.04302,0.0043,2.26983,3.96447,2.01246,0.000201776,0.000201776,0.000201776
41,14.6994,1.39837,3.77006,1.44928,0.00694,0.08333,0.04302,0.0043,2.26983,3.96447,2.01246,0.000202,0.000202,0.000202
42,15.0368,1.39793,3.55621,1.31703,0.00725,0.08333,0.0431,0.00649,2.32944,3.99023,2.12228,0.000201976,0.000201976,0.000201976
43,15.3325,1.65494,3.07235,1.42323,0.00725,0.08333,0.0431,0.00649,2.32944,3.99023,2.12228,0.000201705,0.000201705,0.000201705
44,15.6132,1.32446,2.9738,1.21539,0.00725,0.08333,0.0431,0.00649,2.32944,3.99023,2.12228,0.000201186,0.000201186,0.000201186
45,15.9015,1.75401,3.37215,1.54138,0.00725,0.08333,0.0431,0.00649,2.32944,3.99023,2.12228,0.00020042,0.00020042,0.00020042
46,16.178,1.38478,3.56233,1.37009,0.01015,0.13889,0.05525,0.01014,2.36474,3.98812,2.18651,0.000199406,0.000199406,0.000199406
47,16.4735,1.70515,3.22511,1.57976,0.01015,0.13889,0.05525,0.01014,2.36474,3.98812,2.18651,0.000198145,0.000198145,0.000198145
48,16.7617,1.19638,3.0434,1.25918,0.01015,0.13889,0.05525,0.01014,2.36474,3.98812,2.18651,0.000196636,0.000196636,0.000196636
49,17.0951,1.42676,2.93126,1.22451,0.01015,0.13889,0.05525,0.01014,2.36474,3.98812,2.18651,0.00019488,0.00019488,0.00019488
50,17.4408,1.08309,3.24805,1.14925,0.01066,0.13889,0.04934,0.01022,2.36873,3.99726,2.23808,0.000192876,0.000192876,0.000192876
51,17.7337,1.15283,2.56581,1.16029,0.01066,0.13889,0.04934,0.01022,2.36873,3.99726,2.23808,0.000190625,0.000190625,0.000190625
52,18.0484,1.62949,3.28453,1.47159,0.01066,0.13889,0.04934,0.01022,2.36873,3.99726,2.23808,0.000188126,0.000188126,0.000188126
53,18.4703,1.13287,2.45949,1.12367,0.01066,0.13889,0.04934,0.01022,2.36873,3.99726,2.23808,0.00018538,0.00018538,0.00018538
54,18.7575,0.91933,2.40543,1.13535,0.01066,0.13889,0.04934,0.01022,2.36873,3.99726,2.23808,0.000182386,0.000182386,0.000182386
55,19.0671,1.07388,3.34391,1.19008,0.007,0.09722,0.03224,0.00851,2.3719,4.00071,2.28309,0.000179145,0.000179145,0.000179145
56,19.347,1.15503,2.64489,1.17692,0.007,0.09722,0.03224,0.00851,2.3719,4.00071,2.28309,0.000175656,0.000175656,0.000175656
57,19.6318,1.60255,3.92998,1.5067,0.007,0.09722,0.03224,0.00851,2.3719,4.00071,2.28309,0.00017192,0.00017192,0.00017192
58,19.9168,1.07997,2.44805,1.0309,0.007,0.09722,0.03224,0.00851,2.3719,4.00071,2.28309,0.000167936,0.000167936,0.000167936
59,20.1996,2.23978,3.8933,1.89001,0.007,0.09722,0.03224,0.00851,2.3719,4.00071,2.28309,0.000163705,0.000163705,0.000163705
60,20.5127,1.85243,3.94513,1.65799,0.00737,0.09722,0.03237,0.00855,2.40926,3.9936,2.35224,0.000159226,0.000159226,0.000159226
61,20.7935,1.46273,3.6124,1.46298,0.00737,0.09722,0.03237,0.00855,2.40926,3.9936,2.35224,0.0001545,0.0001545,0.0001545
62,21.0797,0.92986,2.27995,1.06906,0.00737,0.09722,0.03237,0.00855,2.40926,3.9936,2.35224,0.000149526,0.000149526,0.000149526
63,21.3693,1.46871,2.73838,1.35648,0.00737,0.09722,0.03237,0.00855,2.40926,3.9936,2.35224,0.000144305,0.000144305,0.000144305
64,21.6524,1.77289,3.35516,1.47546,0.00737,0.09722,0.03237,0.00855,2.40926,3.9936,2.35224,0.000138836,0.000138836,0.000138836
65,21.961,1.95063,3.8601,1.69622,0.00777,0.09722,0.03252,0.00739,2.44326,3.96866,2.35704,0.00013312,0.00013312,0.00013312
66,22.2458,1.82362,3.01281,1.60074,0.00777,0.09722,0.03252,0.00739,2.44326,3.96866,2.35704,0.000127156,0.000127156,0.000127156
67,22.647,1.27797,2.73591,1.30978,0.00777,0.09722,0.03252,0.00739,2.44326,3.96866,2.35704,0.000120945,0.000120945,0.000120945
68,22.9327,1.1556,2.56145,1.20148,0.00777,0.09722,0.03252,0.00739,2.44326,3.96866,2.35704,0.000114486,0.000114486,0.000114486
69,23.2351,1.0758,3.01588,1.22721,0.00777,0.09722,0.03252,0.00739,2.44326,3.96866,2.35704,0.00010778,0.00010778,0.00010778
70,23.521,1.54536,2.88452,1.38422,0.00777,0.09722,0.03252,0.00739,2.44326,3.96866,2.35704,0.000100826,0.000100826,0.000100826
71,27.303,2.16697,3.11364,2.1136,0.00303,0.05556,0.00898,0.00449,2.40993,3.97973,2.3368,9.3625e-05,9.3625e-05,9.3625e-05
72,27.5947,1.45716,2.46695,1.19541,0.00303,0.05556,0.00898,0.00449,2.40993,3.97973,2.3368,8.61763e-05,8.61763e-05,8.61763e-05
73,27.8867,1.53999,3.08752,1.59717,0.00303,0.05556,0.00898,0.00449,2.40993,3.97973,2.3368,7.848e-05,7.848e-05,7.848e-05
74,28.1376,1.33021,3.04893,1.34772,0.00303,0.05556,0.00898,0.00449,2.40993,3.97973,2.3368,7.05363e-05,7.05363e-05,7.05363e-05
75,28.4203,1.50085,3.09443,1.46126,0.00303,0.05556,0.00898,0.00449,2.40993,3.97973,2.3368,6.2345e-05,6.2345e-05,6.2345e-05
76,28.6948,1.37862,2.5894,1.21821,0.00303,0.05556,0.00898,0.00449,2.40993,3.97973,2.3368,5.39062e-05,5.39062e-05,5.39062e-05
77,28.966,1.79283,3.49838,1.69821,0.00689,0.09722,0.01481,0.00634,2.35117,3.9761,2.32299,4.522e-05,4.522e-05,4.522e-05
78,29.2291,1.0381,2.20168,1.05753,0.00689,0.09722,0.01481,0.00634,2.35117,3.9761,2.32299,3.62862e-05,3.62862e-05,3.62862e-05
79,29.5033,1.17074,2.66456,1.1729,0.00689,0.09722,0.01481,0.00634,2.35117,3.9761,2.32299,2.7105e-05,2.7105e-05,2.7105e-05
80,29.8562,1.55405,2.37357,1.31054,0.00689,0.09722,0.01481,0.00634,2.35117,3.9761,2.32299,1.76762e-05,1.76762e-05,1.76762e-05
